Kanté Chelsea 62 £5.0
Riedewald CrystalPalace 64 £5.0
AndréGomes Everton 48 £5.0
Davies Everton 47 £5.0
Phillips Leeds 67 £5.0
Roberts Leeds 49 £5.0
Praet Leicester 37 £5.0
Ndidi Leicester 79 £5.0
Milner Liverpool 44 £5.0
Henderson Liverpool 56 £5.0
Keita Liverpool 15 £5.0
Jones Liverpool 50 £5.0
Fred ManUtd 69 £5.0
Hendrick Newcastle 52 £5.0
Murphy Newcastle 69 £5.0
Stiepermann Norwich 0 £5.0
McLean Norwich 0 £5.0
Hernández Norwich 0 £5.0
Placheta Norwich 0 £5.0
Martin Norwich 0 £5.0
Tella Southampton 36 £5.0
Højbjerg Spurs 107 £5.0
Gosling Watford 0 £5.0
Cleverley Watford 0 £5.0
Chalobah Watford 0 £5.0
Hughes Watford 0 £5.0
Rice WestHam 86 £5.0
Moutinho Wolves 73 £5.0
Dendoncker Wolves 77 £5.0
Fernandinho ManCity 65 £5.0
Soumaré Leicester 0 £5.0
Mata ManUtd 32 £5.0
Elneny Arsenal 50 £4.5
Torreira Arsenal 0 £4.5
Guendouzi Arsenal 0 £4.5
Nakamba AstonVilla 27 £4.5
DouglasLuiz AstonVilla 72 £4.5
Ramsey AstonVilla 28 £4.5
Pröpper Brighton 9 £4.5
Bissouma Brighton 77 £4.5
Moder Brighton 21 £4.5
Zamburek Brentford 0 £4.5
Bidstrup Brentford 0 £4.5
Cork Burnley 33 £4.5
Stephens Burnley 8 £4.5
Brownhill Burnley 74 £4.5
Benson Burnley 10 £4.5
Gilmour Norwich 8 £4.5
McArthur CrystalPalace 45 £4.5
Delph Everton 8 £4.5
Allan Everton 47 £4.5
Poveda Leeds 14 £4.5
Shackleton Leeds 17 £4.5
Mendy Leicester 41 £4.5
Choudhury Leicester 14 £4.5
Matic ManUtd 36 £4.5
Hayden Newcastle 40 £4.5
S.Longstaff Newcastle 41 £4.5
M.Longstaff Newcastle 10 £4.5
Rupp Norwich 0 £4.5
Romeu Southampton 52 £4.5
Smallbone Southampton 5 £4.5
Diallo Southampton 31 £4.5
Sissoko Spurs 44 £4.5
Winks Spurs 19 £4.5
Skipp Spurs 0 £4.5
Dele-Bashiru Watford 0 £4.5
Quina Watford 0 £4.5
Hungbo Watford 0 £4.5
Baah Watford 0 £4.5
Noble WestHam 27 £4.5
Gibbs-White Wolves 22 £4.5
Otasowie Wolves 9 £4.5
Kane Spurs 242 £12.5
Vardy Leicester 187 £10.5
Aubameyang Arsenal 131 £10.0
Werner Chelsea 128 £9.0
Firmino Liverpool 141 £9.0
Lacazette Arsenal 129 £8.5
Jesus ManCity 115 £8.5
Cavani ManUtd 99 £8.5
Calvert-Lewin Everton 165 £8.0
Bamford Leeds 194 £8.0
Martial ManUtd 75 £8.0
Ings Southampton 131 £8.0
Watkins AstonVilla 168 £7.5
